ID,observation_id,Mag,Magerr,MJD
TranID1011080040044131101,292,20.5418,0.383958564908436,53710.104779733796
TranID1011080040044131101,293,18.2179,0.126290992352198,53670.2718515392
TranID1011080040044131101,294,19.9716,0.29606048595112106,53637.3363490626
TranID1011080040044131101,295,20.6276,0.409766516645934,53757.114564895586
TranID1011080040044131101,296,19.2334,0.18849578984433105,53990.4647737849
TranID1011080040044131101,297,20.6164,0.377267426880764,54008.2708324073
TranID1011080040044131101,298,20.3312,0.3203796997552619,54008.2805847456
TranID1011080040044131101,299,21.0006,0.471182128604856,54406.176576018304
TranID1011080040044131101,300,20.9244,0.450744843481276,54406.1830898845
TranID1011080040044131101,301,21.0423,0.4850335002535471,54385.171618784814
TranID1011080040044131101,302,20.8543,0.4328476968060711,54776.1952705905
TranID1011080040044131101,303,20.4147,0.330604382991214,54747.3203519792
TranID1011080040044131101,304,20.2266,0.306974742358298,54715.3175784261
TranID1011080040044131101,305,20.1017,0.28670034558787105,55181.098826458205
TranID1011080040044131101,306,20.3309,0.325670364112933,55153.1479577776
TranID1011080040044131101,307,21.0222,0.499830868953054,55153.1552418172
TranID1011080040044131101,308,20.6181,0.40177296227830106,55101.29809207191
TranID1011080040044131101,309,19.9281,0.2725141719497,55212.1125045256
TranID1011080040044131101,310,18.5668,0.141601682602638,55508.18535419
TranID1011080040044131101,311,19.1814,0.18565647082075,55508.1990199192
TranID1011080040044131101,312,18.9065,0.162793343123771,55508.2059736229
TranID1011080040044131101,313,20.213,0.314027764141746,55530.1494992939
TranID1011080040044131101,314,20.0846,0.293951924859773,55530.1635928354
TranID1011080040044131101,315,19.1954,0.18855750267918805,55530.1707641552
TranID1011080040044131101,316,18.8491,0.164765935875334,55497.2235704283
TranID1011080040044131101,317,18.902,0.16770717573437302,55497.2374676736
TranID1011080040044131101,318,19.3148,0.20317382907161605,55497.2443980901
TranID1011080040044131101,319,21.1446,0.43371849154209,55825.332410844814
TranID1011080040044131101,320,21.0616,0.4115193207005301,55825.340634849694
TranID1011080040044131101,321,20.3819,0.342495911230232,55893.1595890625
TranID1011080040044131101,322,20.0688,0.326128081873342,56152.3440014469
TranID1011080040044131101,323,20.8936,0.478446648286861,56191.3414858799
TranID1011080040044131101,324,20.0107,0.283113662357016,56235.181671273
TranID1011080040044131101,325,20.7992,0.37183895853569104,56274.1067878356
TranID1011080040044131101,326,20.5275,0.31396901591374704,56274.11217560191
TranID1011080040044131101,327,20.5097,0.314735400535378,56274.1230809142
TranID1011080040044131101,328,19.9715,0.300879624234661,56540.3099060068
TranID1011080040044131101,329,20.6429,0.3979349792935301,56560.2855591434
TranID1011080040044131101,330,19.5505,0.22382187346481505,56577.231210046506
TranID1011080040044131101,331,19.8977,0.265959810453452,56577.2450822801
TranID1011080040044131101,332,20.3841,0.345007936905988,56596.186465323895
TranID1010070120014131116,1015,19.2632,0.196523092648458,53705.144327997696
TranID1010070120014131116,1017,20.0005,0.29089324874133804,53705.167744560196
TranID1010070120014131116,1018,20.1868,0.31646464342864195,53711.1561024999
TranID1010070120014131116,1019,21.0139,0.504820217251591,53680.1600704859
TranID1010070120014131116,1020,20.2844,0.334202045048161,53680.167580347
TranID1010070120014131116,1021,19.6908,0.24379166467156,53680.1751302662
TranID1010070120014131116,1022,19.6546,0.239307186663702,53680.1826433679
TranID1010070120014131116,1023,16.3566,0.0739753506510905,53648.2827030672
TranID1010070120014131116,1024,16.3853,0.0744651404987594,53648.2880555326
TranID1010070120014131116,1025,16.4267,0.0751719692980953,53648.293420034905
TranID1010070120014131116,1026,16.4067,0.0747895673507843,53648.2987992363
TranID1010070120014131116,1027,14.8244,0.0580771471571266,53654.2457482405
TranID1010070120014131116,1028,14.8091,0.0579926679493518,53654.252148911786
TranID1010070120014131116,1029,14.8323,0.0579500343420868,53654.258550034814
TranID1010070120014131116,1030,14.9993,0.0593388528006159,53656.1880844906
TranID1010070120014131116,1031,15.0775,0.0598455387987895,53656.1939446181
TranID1010070120014131116,1032,15.0786,0.0598659116851219,53656.199791435196
TranID1010070120014131116,1033,15.0405,0.059596878926785,53656.2056563078
TranID1010070120014131116,1034,18.7151,0.153915999053229,53667.173694004814
TranID1010070120014131116,1035,18.9395,0.170624500098411,53667.18035486111
TranID1010070120014131116,1036,18.7923,0.159228429556696,53667.187009132
TranID1010070120014131116,1037,18.5184,0.141063649838644,53667.193587696696
TranID1010070120014131116,1038,19.1143,0.18479481254125305,53673.195694849404
TranID1010070120014131116,1039,18.9526,0.17133655551237698,53673.2010394447
TranID1010070120014131116,1040,18.7752,0.158496960057319,53673.2066028011
TranID1010070120014131116,1041,18.8593,0.16457820019624805,53673.2119519096
TranID1010070120014131116,1042,19.6187,0.24573256855415804,53626.258729653
TranID1010070120014131116,1043,20.6425,0.386686796055764,54093.0932938079
TranID1010070120014131116,1044,21.0134,0.4713646821590421,54058.1670463891
TranID1010070120014131116,1045,19.9931,0.27232019837752697,53996.2319181827
TranID1010070120014131116,1046,18.3125,0.122564526972619,53996.2546998728
TranID1010070120014131116,1047,21.0635,0.4813225729347321,54003.3381841783
TranID1010070120014131116,1048,20.6078,0.371459525589303,54003.3511549654
TranID1010070120014131116,1049,20.0368,0.28066738626118204,54377.2589226854
TranID1010070120014131116,1050,20.9604,0.46614765339874,54377.2784509724
TranID1010070120014131116,1051,20.9984,0.470453884032692,54391.2692740508
TranID1010070120014131116,1052,19.2811,0.186626978213584,54776.1631721179
TranID1010070120014131116,1053,18.677,0.143779697849939,54776.1705069677
TranID1010070120014131116,1054,19.341,0.19365260225200695,54776.177749109
TranID1010070120014131116,1055,19.4627,0.205758882610392,54776.1849764353
TranID1010070120014131116,1056,19.7071,0.2982137532565089,55182.0878746064
TranID1010070120014131116,1057,20.3191,0.338422235333736,55145.173563333214
TranID1010070120014131116,1058,19.5583,0.227976238689433,55120.2379221642
TranID1010070120014131116,1059,20.2492,0.3259971258811889,55120.246059861
TranID1010070120014131116,1060,19.9171,0.266831013598899,55120.254157974414
TranID1010070120014131116,1061,19.9741,0.276319704471276,55502.242183240596
TranID1010070120014131116,1062,19.5956,0.22333221769120895,55510.170339444696
TranID1010070120014131116,1063,14.4478,0.055614209156483005,55476.2270876737
TranID1010070120014131116,1064,14.5629,0.0562899642536314,55476.2397736111
TranID1010070120014131116,1065,14.6109,0.0564477714632039,55476.246100555596
TranID1010070120014131116,1066,20.0528,0.307748182127433,53626.325113507
TranID1010070120014131116,1067,20.509,0.374138520739117,55824.372260011696
TranID1010070120014131116,1068,20.6936,0.40902162107901,55827.284349722315
TranID1010070120014131116,1069,19.9348,0.269872992049852,55865.2238501967
TranID1010070120014131116,1070,19.4856,0.21585019950526305,55865.229434629415
TranID1010070120014131116,1071,20.3627,0.340924121877133,55837.29991375
TranID1010070120014131116,1072,20.961,0.46281359740643,55853.2169618402
TranID1010070120014131116,1073,19.4441,0.187943346123194,56185.3651528124
TranID1010070120014131116,1074,20.3706,0.37098676748494,56218.2595772687
TranID1010070120014131116,1075,19.4807,0.22621081567317106,56218.264099872686
TranID1010070120014131116,1076,19.2525,0.20872577774221104,56547.2977984492
TranID1010070120014131116,1077,20.0875,0.322263406247223,56547.3045595833
TranID1010070120014131116,1078,20.9681,0.4852309440100221,56564.3736568401
TranID1010070120014131116,1079,20.2396,0.323537005680622,56564.3787581599
TranID1010070120014131116,1080,20.1942,0.316224503113186,56564.3838008796
TranID1010070120014131116,1082,20.3248,0.33618604869740504,56574.335050775706
TranID1010070120014131116,1083,19.708,0.24225029636413395,56574.3413227317
TranID1010070120014131116,1084,20.353,0.342571276746374,56574.3536957176
TranID1010070120014131116,1085,19.5461,0.22707703618883,56590.2194406251
TranID1010070120014131116,1086,20.0685,0.298771957360503,56590.22349847201
TranID1010070120014131116,1087,20.3597,0.35051401920156205,56590.227538368206
TranID1009160150044112016,1348,16.793,0.0796815342281108,53705.1719322684
TranID1009160150044112016,1349,16.7199,0.0783173151051858,53705.1799775693
TranID1009160150044112016,1350,16.8696,0.0812772813969986,53705.19606946781
TranID1009160150044112016,1351,16.811,0.0794266508062718,53712.0894182408
TranID1009160150044112016,1352,16.8829,0.0808186155821939,53712.094708553086
TranID1009160150044112016,1353,16.8121,0.080939144283021,53712.1000496759
TranID1009160150044112016,1354,16.8057,0.0793999287466511,53712.105355833206
TranID1009160150044112016,1355,16.816,0.0796945707779039,53680.1874051737
TranID1009160150044112016,1356,16.8893,0.0810283783964699,53680.1939709028
TranID1009160150044112016,1357,16.9017,0.0812555416571711,53680.2005126621
TranID1009160150044112016,1358,16.8088,0.0794781306733863,53680.207061365705
TranID1009160150044112016,1359,16.7634,0.0815965517292702,53648.3099971297
TranID1009160150044112016,1360,16.9696,0.0860254811741784,53648.3173937965
TranID1009160150044112016,1361,16.9735,0.08617712707538702,53648.3247832754
TranID1009160150044112016,1362,16.6958,0.0800862485726614,53648.3321837615
TranID1009160150044112016,1363,16.7015,0.0781578387674063,53667.20647457201
TranID1009160150044112016,1364,16.8309,0.0799844917133026,53667.2162235417
